Buffer_ID,class
QN2186133,30000-40000
BX410013,20000-30000
MN195717,over 60000
BK881640,20000-30000
BX262035,over 60000
BX351024,30000-40000
SI651733,under 10000
QN538475,30000-40000
BK390922,30000-40000
BK716725,30000-40000
SI114947,10000-15000
BX498465,30000-40000
BX31117,over 60000
BK678228,40000-50000
BX58242417,under 10000
BX498657,30000-40000
BX299625,40000-50000
SI283513,15000-20000
BX460411,40000-50000
BX301415,40000-50000
BX228771,over 60000
SI16021,10000-15000
SI2846314,10000-15000
SI788846,under 10000
SI74601,under 10000
SI226282,under 10000
BX352174,30000-40000
BX485214,40000-50000
SI45505,10000-15000
MN161746,over 60000
MN191532,over 60000
QN922551,30000-40000
BK550161,30000-40000
BK116291,over 60000
SI289818,15000-20000
SI86085,under 10000
MN223835,over 60000
BK449627,15000-20000
BK732869,40000-50000
BX58394025,under 10000
SI72749,15000-20000
BX491828,20000-30000
BK562766,over 60000
BK406714,40000-50000
BX511911,30000-40000
SI1318134,under 10000
BK380147,40000-50000
SI8026155,10000-15000
SI68911,10000-15000
QN1169530,30000-40000
MN184752,over 60000
SI7317125,10000-15000
BK163473,over 60000
SI226112,under 10000
SI10610,20000-30000
SI16747,20000-30000
BX3343135,over 60000
SI627330,10000-15000
BX412742,30000-40000
BX49804,30000-40000
QN1225147,15000-20000
QN280853,20000-30000
SI26104,under 10000
BK545855,over 60000
QN104877,20000-30000
BX504811,30000-40000
BK634130,40000-50000
BK154416,30000-40000
BK383950,40000-50000
SI4583275,under 10000
SI522611,10000-15000
SI355213,10000-15000
BX5920382,20000-30000
BK12459,over 60000
MN171113,over 60000
BK421034,40000-50000
SI277468,under 10000
QN824819,10000-15000
BK317019,40000-50000
SI298510,10000-15000
QN1576144,40000-50000
BK141531,over 60000
QN331112,20000-30000
SI2155326,under 10000
BX5920388,20000-30000
SI332322,10000-15000
BK110072,over 60000
QN152150,40000-50000
SI226459,under 10000
QN897580,30000-40000
QN804946,under 10000
QN5865150,20000-30000
SI620930,10000-15000
BX58422048,10000-15000
BX47046,30000-40000
BK37636,40000-50000
BX455321,40000-50000
BX309733,over 60000
BK3063101,40000-50000
BX539744,20000-30000
MN40519,over 60000
QN108423,20000-30000
SI615185,10000-15000
BK326565,over 60000
SI5507207,10000-15000
BK39994,40000-50000
SI8705,under 10000
SI35720,10000-15000
SI316516,under 10000
BX476848,20000-30000
SI91721,under 10000
QN397476,20000-30000
SI5507109,10000-15000
BX324772,over 60000
BX4560120,30000-40000
BX4988178,20000-30000
SI6993187,under 10000
BX5409542,15000-20000
SI89570,under 10000
QN394825,15000-20000
BK362714,40000-50000
SI626010,under 10000
QN521019,30000-40000
BK44451,10000-15000
SI640222,under 10000
BK278542,over 60000
QN1051515,10000-15000
QN441011,30000-40000
BX243470,over 60000
BK15897,over 60000
BK400528,40000-50000
SI64555,20000-30000
QN801540,under 10000
BK12531,over 60000
BX583170,under 10000
SI498518,10000-15000
SI1435250,10000-15000
BK178980,40000-50000
BX445121,30000-40000
QN1260141,20000-30000
BX356315,30000-40000
QN1039856,15000-20000
BX389340,40000-50000
MN630137,over 60000
SI7267200,10000-15000
QN8114122,10000-15000
SI119419,15000-20000
SI227742,under 10000
BX409856,30000-40000
SI4033109,under 10000
BX58451851,10000-15000
BX243336,over 60000
BK400317,40000-50000
BX403633,40000-50000
SI88317,under 10000
SI5585154,10000-15000
SI238149,10000-15000
QN263820,20000-30000
QN1118946,15000-20000
BK3884257,15000-20000
SI35110,20000-30000
