Buffer_ID,class
MN163220,over 60000
BK41718,40000-50000
BK191818,40000-50000
BX58552248,15000-20000
BX343031,20000-30000
BX464348,40000-50000
BX334447,40000-50000
BX58161865,under 10000
BX446815,20000-30000
BK165154,40000-50000
BK446125,40000-50000
BX537638,20000-30000
BX308012,40000-50000
QN72882,40000-50000
QN397342,20000-30000
SI625470,under 10000
QN541955,30000-40000
BK449639,15000-20000
QN73144,20000-30000
SI5415100,10000-15000
SI793957,under 10000
SI7775195,under 10000
BK434856,30000-40000
SI14984,10000-15000
QN23799,20000-30000
SI5250,20000-30000
SI636736,under 10000
SI6249424,under 10000
SI18068,15000-20000
SI43401,10000-15000
BK343864,40000-50000
QN366630,20000-30000
QN198693,over 60000
BX497150,10000-15000
SI643137,under 10000
QN8116158,10000-15000
QN373154,10000-15000
BX475930,30000-40000
SI2922125,20000-30000
BX305088,40000-50000
QN1552718,30000-40000
QN470542,15000-20000
BK78917,20000-30000
SI226215,under 10000
QN394835,15000-20000
QN10273113,15000-20000
BK4558110,15000-20000
BK195422,over 60000
BK659282,40000-50000
BK779417,40000-50000
QN1320887,10000-15000
SI51455,10000-15000
SI403184,10000-15000
BK241236,over 60000
SI939135,under 10000
BX5408143,10000-15000
SI44741,under 10000
BX457320,40000-50000
QN1211614,under 10000
BK225045,over 60000
BX347159,20000-30000
SI109532,15000-20000
SI697970,under 10000
SI277043,under 10000
QN1730238,over 60000
BX268114,over 60000
SI25445,10000-15000
BK548535,40000-50000
SI24544,under 10000
SI115525,15000-20000
BX565147,under 10000
SI115235,10000-15000
BX5263168,20000-30000
QN1025514,20000-30000
BX352419,30000-40000
BX454745,over 60000
BK239244,40000-50000
BK506259,over 60000
QN97059,20000-30000
SI746018,under 10000
BK811541,30000-40000
QN1554743,20000-30000
BK99470,40000-50000
BX49224,20000-30000
SI11799,15000-20000
QN107964,15000-20000
BX5888165,20000-30000
QN918436,30000-40000
SI421230,10000-15000
BK385540,20000-30000
BK116857,over 60000
BX295866,40000-50000
SI15357,10000-15000
QN1166736,30000-40000
SI860206,under 10000
QN664650,30000-40000
SI4640165,10000-15000
QN99089,20000-30000
QN117763,20000-30000
QN121528,30000-40000
BK661953,40000-50000
BX373153,40000-50000
BX496547,15000-20000
QN15570100,15000-20000
BX297653,40000-50000
SI688233,10000-15000
SI226750,under 10000
BK9371,40000-50000
SI643143,under 10000
QN208929,over 60000
SI328461,15000-20000
SI616423,under 10000
SI577116,under 10000
QN1155241,10000-15000
QN1298885,15000-20000
QN44109,30000-40000
BK558667,over 60000
SI705599,10000-15000
QN392146,15000-20000
QN1092234,20000-30000
BK168776,40000-50000
SI553168,15000-20000
BK453912,15000-20000
QN106023,20000-30000
BX426360,40000-50000
BX58542183,15000-20000
QN822742,10000-15000
SI15791,15000-20000
SI501638,10000-15000
QN1050470,15000-20000
BX513525,20000-30000
QN198016,over 60000
BX243055,over 60000
BX466276,40000-50000
SI292041,10000-15000
QN9776100,30000-40000
BK116712,over 60000
BK32575,40000-50000
SI370210,10000-15000
QN823747,under 10000
BX5808324,20000-30000
BX47753,20000-30000
SI298017,15000-20000
QN101411,30000-40000
QN73091,20000-30000
BK5904150,30000-40000
SI230662,under 10000
MN211137,over 60000
BK11805,40000-50000
SI708475,10000-15000
SI643168,under 10000
QN133546,10000-15000
BX466887,40000-50000
SI553323,10000-15000
BK512124,over 60000
QN1347732,15000-20000
BX526021,30000-40000
BK564349,over 60000
QN135326,40000-50000
BK395659,30000-40000
QN400246,20000-30000
BK78651,20000-30000
SI1116124,10000-15000
MN195337,over 60000
BK836528,20000-30000
SI6775259,under 10000
BK526031,20000-30000
BX369435,20000-30000
SI792889,under 10000
BX564367,under 10000
BK471717,40000-50000
SI7534197,under 10000
SI224429,under 10000
SI56601,10000-15000
SI526837,10000-15000
BK154050,30000-40000
BK85928,under 10000
BK366446,30000-40000
QN809337,under 10000
QN270818,15000-20000
SI562520,15000-20000
SI107490,10000-15000
BX333437,over 60000
SI100674,10000-15000
SI1181,15000-20000
QN1176110,30000-40000
BK360035,40000-50000
SI522120,15000-20000
SI7046119,15000-20000
SI160100,15000-20000
QN16502,20000-30000
BX322510,over 60000
SI6680126,under 10000
SI469945,under 10000
QN700447,15000-20000
BK4570142,15000-20000
SI26219,10000-15000
BX58222730,under 10000
QN4758165,15000-20000
SI61810,15000-20000
BX399128,over 60000
SI4614,20000-30000
BX279814,over 60000
SI7702110,under 10000
BX5949286,10000-15000
BX242319,over 60000
QN958725,30000-40000
BK395523,30000-40000
SI334364,10000-15000
QN1269585,15000-20000
BK449727,10000-15000
QN6866385,15000-20000
BX3263256,30000-40000
QN280766,20000-30000
QN561850,15000-20000
BK14978,40000-50000
QN573262,40000-50000
SI26426,10000-15000
BX370063,15000-20000
QN520427,30000-40000
SI13974,10000-15000
QN989451,40000-50000
BX380182,40000-50000
BK7107245,30000-40000
QN1211066,15000-20000
SI786282,under 10000
BX537648,20000-30000
MN196968,over 60000
SI1132101,10000-15000
QN5303158,20000-30000
SI8583,under 10000
QN1004921,20000-30000
SI126228,under 10000
QN103863,15000-20000
SI228058,under 10000
QN115918,20000-30000
SI7037140,10000-15000
SI5719,10000-15000
BX328637,over 60000
QN11228106,10000-15000
BX425382,30000-40000
QN288222,30000-40000
SI7534305,under 10000
SI2899309,15000-20000
SI5089,20000-30000
BK198462,40000-50000
SI668011,under 10000
SI199113,10000-15000
QN321,20000-30000
BK358529,40000-50000
BX43275,40000-50000
BX498664,30000-40000
SI62776,under 10000
QN1334121,15000-20000
BK355612,40000-50000
QN13204112,15000-20000
QN52267,20000-30000
SI690737,under 10000
SI574431,10000-15000
QN1016138,20000-30000
SI5658166,10000-15000
BX391533,40000-50000
QN280761,20000-30000
BX3256118,over 60000
BK93746,40000-50000
BX243413,over 60000
SI57128,10000-15000
QN1269586,15000-20000
QN1257218,30000-40000
QN629838,20000-30000
BK419012,40000-50000
BK180849,40000-50000
SI6495,20000-30000
QN1237432,15000-20000
BX466111,40000-50000
QN11939111,30000-40000
BK326618,over 60000
BX5626193,under 10000
BK324651,over 60000
SI5253,20000-30000
QN4099114,10000-15000
BK326531,over 60000
SI228053,under 10000
BK233638,40000-50000
SI511952,10000-15000
BK176645,40000-50000
SI199118,under 10000
SI10330,20000-30000
BK113511,40000-50000
BX45997,40000-50000
BX347569,15000-20000
QN397351,20000-30000
SI7773100,under 10000
SI70351,10000-15000
BK191415,40000-50000
SI65494,under 10000
BK316638,40000-50000
SI526845,10000-15000
SI7317101,under 10000
BK36289,30000-40000
QN1214731,30000-40000
BX548411,15000-20000
QN1024052,20000-30000
QN12006108,30000-40000
QN724614,10000-15000
SI283293,15000-20000
SI651013,under 10000
QN69136,15000-20000
BX328794,over 60000
BK146726,40000-50000
SI123493,15000-20000
QN732312,15000-20000
BX337020,10000-15000
QN1195753,20000-30000
QN394334,20000-30000
BX553455,15000-20000
MN161728,over 60000
BX297539,over 60000
QN1219618,20000-30000
BX533731,15000-20000
SI3317,15000-20000
QN1155118,10000-15000
BK148911,40000-50000
SI465872,under 10000
BK625333,40000-50000
SI199116,under 10000
SI289218,15000-20000
SI50926,10000-15000
BK224562,over 60000
SI196570,under 10000
BX323033,30000-40000
QN1016732,30000-40000
QN103104,10000-15000
BK157239,30000-40000
QN1313111,20000-30000
QN451532,10000-15000
BK177476,40000-50000
SI300355,15000-20000
QN50934,40000-50000
SI63088,10000-15000
SI7094172,10000-15000
BX30515,40000-50000
BX58192167,under 10000
BX553512,10000-15000
QN54015,40000-50000
SI623100,15000-20000
QN167910,30000-40000
SI46171,15000-20000
BX311920,over 60000
SI353120,10000-15000
BK121373,over 60000
QN825436,10000-15000
QN1195816,20000-30000
MN16436,over 60000
BK542118,over 60000
SI6979308,under 10000
SI7105163,under 10000
QN503412,40000-50000
SI60287,10000-15000
SI2457,under 10000
QN1108752,15000-20000
BK128437,40000-50000
SI848190,10000-15000
BK825531,30000-40000
BX3225168,over 60000
BX540387,20000-30000
BX251612,over 60000
BX325578,30000-40000
SI737915,under 10000
SI6944158,under 10000
QN1572067,15000-20000
BK565829,over 60000
SI756225,under 10000
QN806467,under 10000
BK547716,over 60000
SI226296,under 10000
QN1232653,20000-30000
QN470128,15000-20000
BX257276,40000-50000
SI226716,under 10000
BK253274,30000-40000
SI57611,15000-20000
BX470923,40000-50000
SI625817,under 10000
SI298518,15000-20000
BX58343007,under 10000
BK782519,30000-40000
SI4421128,under 10000
QN1141065,15000-20000
SI3011,20000-30000
BK36125,40000-50000
BX307869,40000-50000
BX509820,20000-30000
SI5420102,under 10000
BX352744,30000-40000
BX37541,40000-50000
BX53251,10000-15000
SI2847180,10000-15000
SI2864100,15000-20000
BX255454,40000-50000
QN116020,20000-30000
BK388842,20000-30000
BK150116,40000-50000
BK400027,40000-50000
SI779630,under 10000
SI334186,10000-15000
SI6996,10000-15000
QN80486,under 10000
SI17101,15000-20000
BX5957402,20000-30000
QN107253,10000-15000
QN174032,over 60000
QN169938,over 60000
BK563550,over 60000
QN1155229,10000-15000
BX544139,20000-30000
BK398235,30000-40000
SI3066381,10000-15000
SI2899318,20000-30000
SI7046115,10000-15000
QN93928,40000-50000
QN2907123,20000-30000
SI263643,under 10000
QN42267,20000-30000
SI44278,under 10000
BX43015,40000-50000
SI672948,under 10000
QN8276515,10000-15000
BK31362,40000-50000
SI706621,10000-15000
BK82156,40000-50000
SI300240,15000-20000
SI7826394,under 10000
BX51167,30000-40000
QN330522,15000-20000
BK175849,over 60000
BK177517,40000-50000
QN584360,10000-15000
BK45473,20000-30000
MN20322,over 60000
BX28039,over 60000
BX5412117,15000-20000
BX486579,40000-50000
QN169937,over 60000
QN1307174,15000-20000
BK307910,over 60000
SI514017,10000-15000
SI26041,10000-15000
QN324063,10000-15000
SI601254,15000-20000
BK32277,40000-50000
QN236715,15000-20000
SI657329,under 10000
SI322964,10000-15000
SI848202,10000-15000
BX471195,40000-50000
BX466736,40000-50000
MN19573,over 60000
SI3318114,10000-15000
BX496337,20000-30000
QN93927,40000-50000
QN93911,40000-50000
SI7185,10000-15000
BK117524,over 60000
BX349749,20000-30000
QN168936,40000-50000
BX31561,over 60000
QN518140,over 60000
SI658210,under 10000
SI355363,10000-15000
SI89740,under 10000
BX337625,15000-20000
BK812882,20000-30000
SI155243,10000-15000
SI122677,10000-15000
BX469660,40000-50000
BK175429,over 60000
BX25307,over 60000
BK448432,30000-40000
SI51434,10000-15000
QN396428,20000-30000
BK144339,40000-50000
BX540116,30000-40000
BK324851,over 60000
BX304719,40000-50000
BX547745,15000-20000
QN1177748,20000-30000
QN27381,20000-30000
BX268713,over 60000
QN81039,under 10000
SI706683,10000-15000
BX5944114,under 10000
SI540711,under 10000
BK185836,40000-50000
SI331653,15000-20000
BX5953380,15000-20000
QN443912,under 10000
QN486014,15000-20000
SI6321121,under 10000
SI26273,under 10000
BK1375152,40000-50000
BX2872218,over 60000
BK196574,40000-50000
BX5803977,10000-15000
BX510617,20000-30000
QN928316,30000-40000
QN1240443,15000-20000
SI69516,under 10000
SI21879,15000-20000
SI5735450,under 10000
QN8728,40000-50000
BK178932,40000-50000
QN1084410,20000-30000
QN270841,20000-30000
BX349967,20000-30000
SI4539,20000-30000
QN723937,under 10000
BK740419,40000-50000
MN195858,over 60000
BX240331,over 60000
SI628156,under 10000
QN1558311,20000-30000
BX3257136,40000-50000
QN249527,20000-30000
BX496940,10000-15000
BX396734,40000-50000
SI703473,10000-15000
BX2880205,over 60000
SI123430,15000-20000
BX269156,over 60000
SI62386,10000-15000
BK3605117,40000-50000
BX42746,20000-30000
BX51351,20000-30000
SI74734,10000-15000
SI5735475,under 10000
BK178660,40000-50000
SI792387,under 10000
BX426954,30000-40000
SI569737,10000-15000
QN327048,15000-20000
QN193040,over 60000
BX553397,15000-20000
BX29797,40000-50000
QN100568,20000-30000
SI785482,under 10000
QN10244215,20000-30000
SI12721,10000-15000
QN136612,30000-40000
QN1575820,30000-40000
SI29817,15000-20000
SI3929,20000-30000
BX5863117,20000-30000
BX3335134,over 60000
BX5579105,20000-30000
BX402314,40000-50000
SI112747,10000-15000
BX472638,40000-50000
BX287385,over 60000
BK398232,30000-40000
BK168391,40000-50000
QN311121,30000-40000
SI51446,10000-15000
QN1004518,30000-40000
QN132507,15000-20000
BK44963,15000-20000
BK568517,over 60000
SI226741,under 10000
BK134240,30000-40000
BX5762493,40000-50000
QN50944,40000-50000
BK452937,20000-30000
BK246120,over 60000
SI540729,under 10000
BK40841,40000-50000
QN1022672,20000-30000
BX38185,40000-50000
BK513742,40000-50000
BK322754,40000-50000
QN122745,20000-30000
BX40168,20000-30000
SI50680,10000-15000
BK14841,40000-50000
QN105097,15000-20000
QN2799133,20000-30000
SI73741,under 10000
SI159128,under 10000
BK567342,over 60000
BX30149,40000-50000
SI442636,under 10000
BK381222,40000-50000
SI215918,under 10000
SI509016,10000-15000
SI155249,10000-15000
QN10070132,30000-40000
MN28635,over 60000
SI116639,15000-20000
SI170020,10000-15000
BK731318,20000-30000
SI654912,under 10000
SI284693,10000-15000
QN1216019,30000-40000
SI51667,10000-15000
BX496422,15000-20000
QN61563,over 60000
SI6245260,under 10000
SI278092,under 10000
SI30858,10000-15000
BX502769,20000-30000
BK82925,40000-50000
QN1315325,15000-20000
BX264340,over 60000
BK181415,40000-50000
SI848164,10000-15000
BX329661,over 60000
QN1165938,20000-30000
SI143545,10000-15000
SI626673,under 10000
QN52226,15000-20000
BX394788,over 60000
QN108904,20000-30000
BK404634,40000-50000
BK18379,40000-50000
BX402035,40000-50000
BK799424,30000-40000
QN177133,over 60000
BX294641,40000-50000
BK164168,40000-50000
BX427669,20000-30000
SI10949,15000-20000
BX5653323,under 10000
QN47061,20000-30000
MN172430,40000-50000
BX49674,15000-20000
SI10534,20000-30000
QN924925,30000-40000
BX427549,20000-30000
BX2688165,over 60000
QN1179038,20000-30000
SI3040150,10000-15000
SI227510,under 10000
SI61830,20000-30000
BK176312,40000-50000
SI627810,under 10000
BX426616,40000-50000
BK135522,40000-50000
QN12037119,20000-30000
BX58334290,under 10000
QN1303658,15000-20000
BK224227,over 60000
QN56222,40000-50000
QN1199293,30000-40000
BX44404,40000-50000
BX5867421,15000-20000
SI7786136,under 10000
QN824830,10000-15000
BK67851,40000-50000
BK363937,20000-30000
BX319446,over 60000
BX58202270,under 10000
BK566349,over 60000
SI4645325,10000-15000
BX300825,40000-50000
QN6866375,15000-20000
SI85393,10000-15000
QN943960,30000-40000
QN104997,20000-30000
BK17474,over 60000
QN1004711,20000-30000
QN24446,30000-40000
QN242533,20000-30000
BK162357,40000-50000
QN923112,40000-50000
BX460946,30000-40000
BK122510,over 60000
SI786823,10000-15000
SI594,20000-30000
SI92058,under 10000
SI1196198,15000-20000
SI9413,10000-15000
QN958217,40000-50000
QN521115,30000-40000
BX440538,15000-20000
SI672147,under 10000
QN5239154,15000-20000
BK358626,40000-50000
BX4018121,40000-50000
QN325188,15000-20000
BX466019,40000-50000
SI730656,under 10000
QN329946,15000-20000
BX452740,30000-40000
QN976223,40000-50000
SI443413,under 10000
SI115521,15000-20000
SI643135,under 10000
SI757280,under 10000
BK175420,40000-50000
BK703672,15000-20000
BK39321,30000-40000
SI357163,15000-20000
SI5450134,10000-15000
SI285338,15000-20000
BK31717,40000-50000
QN1366148,20000-30000
BK137885,over 60000
BK480032,40000-50000
SI14855,10000-15000
SI802819,10000-15000
SI62277,10000-15000
SI355486,10000-15000
SI628125,under 10000
SI631655,10000-15000
SI7786133,under 10000
SI794191,under 10000
BK148916,40000-50000
SI630259,10000-15000
BX242333,over 60000
BX491842,20000-30000
SI572078,15000-20000
BX491646,20000-30000
BX409761,30000-40000
BK191851,40000-50000
SI2847147,10000-15000
SI780642,under 10000
BX352745,30000-40000
MN163172,over 60000
QN911144,30000-40000
SI25354,10000-15000
BK664043,40000-50000
BX5733203,30000-40000
BK223741,over 60000
BX246223,over 60000
QN1268713,15000-20000
SI697968,under 10000
BK196641,over 60000
QN1282160,over 60000
BK544233,40000-50000
QN8116170,10000-15000
BK784749,30000-40000
SI520414,10000-15000
QN1266830,15000-20000
BX50084,30000-40000
SI527743,10000-15000
BK66851,40000-50000
BK612248,30000-40000
QN71489,40000-50000
SI54032,20000-30000
BK159155,over 60000
QN731737,15000-20000
QN115914,20000-30000
BX556260,20000-30000
BX362310,20000-30000
BX238933,over 60000
QN9721235,30000-40000
QN802838,under 10000
SI148140,10000-15000
BX445645,30000-40000
SI1131,15000-20000
SI125538,10000-15000
QN551548,15000-20000
BX5411302,20000-30000
SI5643152,10000-15000
BK548053,30000-40000
BX255014,over 60000
SI6087,10000-15000
BX558988,20000-30000
SI636455,under 10000
BK34381,40000-50000
QN1552724,30000-40000
MN194429,over 60000
SI62771,under 10000
SI80043,under 10000
BX352266,30000-40000
SI63812,20000-30000
BK33696,over 60000
BX331312,over 60000
BX583150,under 10000
BX271850,40000-50000
BK194933,over 60000
QN1247688,20000-30000
MN17728,40000-50000
QN399913,20000-30000
BK17723,over 60000
BK31709,40000-50000
QN101593,15000-20000
QN1299237,15000-20000
SI5613221,10000-15000
SI623075,under 10000
MN177226,over 60000
BK71031,30000-40000
SI77984,under 10000
MN194430,over 60000
SI51450,10000-15000
BK37226,30000-40000
QN131196,20000-30000
BK818552,30000-40000
BX590914,30000-40000
BK471849,40000-50000
SI91977,under 10000
BK594651,30000-40000
QN247821,30000-40000
BX448420,20000-30000
SI5268250,10000-15000
SI6475280,under 10000
QN1204732,20000-30000
QN349880,over 60000
SI5373,40000-50000
SI562519,15000-20000
QN1077629,15000-20000
SI115228,10000-15000
SI22425,15000-20000
BX2879189,over 60000
SI60551,15000-20000
SI869868,under 10000
SI752256,15000-20000
BK530956,40000-50000
SI199117,under 10000
BK114936,40000-50000
BK22422,over 60000
BK320523,40000-50000
QN1008517,20000-30000
BX463531,40000-50000
BK852732,20000-30000
SI57532,15000-20000
SI1116141,10000-15000
MN202624,over 60000
BK659212,40000-50000
QN10333103,10000-15000
SI7792228,under 10000
SI9463,under 10000
QN496120,40000-50000
SI55331,10000-15000
SI282916,10000-15000
QN39778,20000-30000
SI52812,15000-20000
SI224747,under 10000
SI297527,15000-20000
MN214085,40000-50000
MN177251,40000-50000
BX498580,30000-40000
BX271640,40000-50000
MN198814,over 60000
SI708619,10000-15000
QN386977,10000-15000
QN408315,20000-30000
BK8374112,15000-20000
BX466571,40000-50000
SI2899316,20000-30000
SI7710280,under 10000
QN8112170,10000-15000
BK363256,40000-50000
BX345736,15000-20000
QN125237,20000-30000
QN924951,30000-40000
MN218062,over 60000
QN1072139,20000-30000
BX32361,40000-50000
SI461259,10000-15000
QN1138439,10000-15000
SI656155,under 10000
QN108477,20000-30000
SI800127,10000-15000
QN104991,20000-30000
SI115516,15000-20000
SI20041,under 10000
SI703514,10000-15000
SI697978,under 10000
SI440411,under 10000
QN13204114,15000-20000
BX251173,40000-50000
QN1089218,20000-30000
QN980154,40000-50000
BX42725,30000-40000
QN336115,20000-30000
BX292548,over 60000
SI285839,15000-20000
SI7786234,under 10000
SI81226,20000-30000
BX470838,40000-50000
BX28741,over 60000
QN635531,15000-20000
BX45976,40000-50000
QN762190,20000-30000
SI145212,15000-20000
BX5920377,15000-20000
BX356262,30000-40000
QN795436,15000-20000
QN1229759,20000-30000
SI226294,under 10000
QN115599,10000-15000
BX58891492,20000-30000
MN178830,over 60000
SI540314,under 10000
QN1305376,15000-20000
BK568266,40000-50000
QN451720,10000-15000
SI328059,15000-20000
BK429519,30000-40000
BX303655,40000-50000
BK405818,40000-50000
BX480333,15000-20000
BX48045,15000-20000
BX381632,30000-40000
MN204711,over 60000
QN10173100,30000-40000
BK663333,40000-50000
SI7558440,under 10000
SI382053,under 10000
BK241627,40000-50000
BX505939,20000-30000
SI686542,under 10000
MN38421,over 60000
QN12439180,10000-15000
SI355485,10000-15000
QN44101,30000-40000
BK324362,over 60000
BK668339,40000-50000
BX337713,15000-20000
BX262046,over 60000
BK349952,40000-50000
QN13434107,10000-15000
QN130945,over 60000
QN500337,over 60000
BX29657,40000-50000
QN7115164,20000-30000
SI627785,under 10000
SI285538,15000-20000
BX434336,over 60000
SI52766,20000-30000
SI512877,10000-15000
QN119443,30000-40000
BX2522121,over 60000
BK480548,40000-50000
SI7356120,10000-15000
QN164838,15000-20000
BX5920373,15000-20000
BX498773,20000-30000
SI374334,10000-15000
SI73491,10000-15000
QN1360938,20000-30000
BX226621,over 60000
BK403412,40000-50000
SI678470,under 10000
SI569318,15000-20000
SI4470130,under 10000
BX3237119,over 60000
QN396621,20000-30000
SI732853,under 10000
BK223743,over 60000
BK349920,40000-50000
SI645440,under 10000
BK522713,over 60000
SI703467,10000-15000
BX540867,15000-20000
BK12124,40000-50000
SI7054466,10000-15000
SI6181,15000-20000
SI474193,10000-15000
BK543154,over 60000
BX488160,30000-40000
BX58881559,15000-20000
BK6734101,40000-50000
SI85432,10000-15000
SI69514,under 10000
QN184721,over 60000
BX476858,20000-30000
SI5268130,10000-15000
SI703416,10000-15000
BK777424,30000-40000
QN1030248,10000-15000
BK668536,40000-50000
QN55191,15000-20000
QN74578,20000-30000
SI615180,15000-20000
SI527124,15000-20000
SI615140,15000-20000
SI528269,10000-15000
SI156080,10000-15000
QN537411,over 60000
QN2186132,30000-40000
SI147226,10000-15000
BX445824,30000-40000
QN1037616,20000-30000
SI614140,10000-15000
BK6681430,30000-40000
SI699814,under 10000
QN305751,15000-20000
BX468522,40000-50000
BX5652198,under 10000
BK139016,over 60000
BK33871,40000-50000
SI803818,under 10000
BK384132,40000-50000
BK16234,40000-50000
BK197339,40000-50000
BX412321,30000-40000
SI571771,10000-15000
SI796538,under 10000
SI529832,10000-15000
MN46335,over 60000
QN59638,40000-50000
QN994955,10000-15000
QN11694159,30000-40000
SI8516,15000-20000
BK566452,over 60000
BX430821,20000-30000
BX404548,30000-40000
QN1038937,20000-30000
SI155254,10000-15000
SI22661,under 10000
SI22746,under 10000
SI50823,10000-15000
BK261851,30000-40000
BX389647,40000-50000
SI565985,10000-15000
BK174310,over 60000
BX495061,10000-15000
BK181240,over 60000
BX252456,40000-50000
QN199862,over 60000
QN1569749,10000-15000
MN195328,over 60000
SI545275,10000-15000
SI545177,10000-15000
SI80129,under 10000
SI546520,15000-20000
SI953251,under 10000
QN1120324,20000-30000
BX504010,30000-40000
SI4347101,10000-15000
BX356320,30000-40000
SI60271,10000-15000
BX5920380,20000-30000
SI4645310,10000-15000
QN78658,20000-30000
SI708429,10000-15000
SI654930,under 10000
QN1155122,10000-15000
QN503938,40000-50000
BX547731,15000-20000
BK165827,40000-50000
SI15102,20000-30000
QN1252512,20000-30000
BK226242,over 60000
SI286615,15000-20000
BK449742,10000-15000
QN120037,20000-30000
BK142857,over 60000
QN534106,40000-50000
SI6670145,under 10000
QN100413,15000-20000
MN19445,over 60000
BX485233,40000-50000
SI626619,under 10000
BX533351,15000-20000
QN13750340,10000-15000
SI667739,under 10000
QN1214846,30000-40000
QN469919,15000-20000
BX268241,over 60000
QN1347245,20000-30000
QN1052917,10000-15000
BX432741,40000-50000
BK81634,30000-40000
SI685340,under 10000
BK386641,20000-30000
BX457542,40000-50000
BX510931,20000-30000
BX42933,over 60000
SI786470,under 10000
SI51221,10000-15000
BX541258,20000-30000
BX2880113,over 60000
SI726794,10000-15000
QN131191,20000-30000
SI61195,15000-20000
QN1319361,15000-20000
BX386822,over 60000
SI64115,10000-15000
QN1155231,10000-15000
QN551636,15000-20000
BX293129,over 60000
BX502915,20000-30000
BK476123,20000-30000
SI7786119,under 10000
QN806816,under 10000
BX489863,30000-40000
BX5263346,30000-40000
BK370613,30000-40000
QN32317,20000-30000
QN514827,30000-40000
SI78068,15000-20000
QN991212,20000-30000
SI25617,under 10000
BX393015,over 60000
BX420541,10000-15000
QN804613,under 10000
SI786733,10000-15000
QN809763,under 10000
QN9208201,20000-30000
QN1264844,20000-30000
SI918201,under 10000
SI80174,under 10000
QN500327,over 60000
SI688717,10000-15000
SI6471,10000-15000
SI31086,15000-20000
BX34551,20000-30000
MN191260,over 60000
QN139230,40000-50000
QN967966,40000-50000
BK5099199,over 60000
SI68589,under 10000
QN441010,30000-40000
BX54138,15000-20000
QN7954143,15000-20000
BK151325,40000-50000
SI64315,under 10000
SI7046122,15000-20000
QN987985,15000-20000
BK315520,40000-50000
BK180760,over 60000
SI7105180,under 10000
BK146258,40000-50000
QN531020,20000-30000
BX498037,30000-40000
SI631610,10000-15000
QN280739,20000-30000
BK415461,30000-40000
SI2859100,15000-20000
SI697998,under 10000
BX3441128,20000-30000
SI1116138,10000-15000
SI791532,10000-15000
QN76220,15000-20000
SI950170,under 10000
BK1919100,over 60000
SI52765,20000-30000
BK56366,over 60000
BX269236,40000-50000
BX455614,40000-50000
BK45376,20000-30000
MN190740,over 60000
BX368516,30000-40000
QN110611,20000-30000
SI569363,15000-20000
BK175430,over 60000
BK372311,30000-40000
BX2877358,over 60000
BK790075,30000-40000
SI43402,10000-15000
BK39498,40000-50000
QN369665,20000-30000
BX533872,15000-20000
SI298190,15000-20000
SI6600210,under 10000
SI3239,20000-30000
BX297139,over 60000
BX297138,over 60000
SI22617,under 10000
SI111749,10000-15000
QN13434116,10000-15000
SI496021,under 10000
BK374242,30000-40000
SI22422,15000-20000
SI1272382,10000-15000
QN806829,under 10000
BX2880191,over 60000
BK87153,30000-40000
SI642535,under 10000
QN58662,over 60000
SI703378,10000-15000
QN2781124,15000-20000
QN51549,15000-20000
BX242733,over 60000
SI628048,under 10000
SI7786179,under 10000
BX266929,over 60000
QN73093,20000-30000
SI111670,10000-15000
QN12539101,15000-20000
SI1116127,10000-15000
BK113633,40000-50000
BK289347,40000-50000
SI7792250,under 10000
QN1015010,30000-40000
BK497314,40000-50000
SI17418,15000-20000
BX58293654,under 10000
BX5955616,15000-20000
SI601460,15000-20000
BK198444,40000-50000
QN1179043,20000-30000
QN806350,under 10000
BK65879,40000-50000
QN1304427,15000-20000
BX495531,30000-40000
SI1116118,10000-15000
SI226289,under 10000
BX542384,15000-20000
SI869380,under 10000
SI292043,10000-15000
SI737422,under 10000
BK397665,30000-40000
BK729953,40000-50000
BK78705,20000-30000
QN1215210,30000-40000
BK315436,40000-50000
SI6760150,under 10000
SI64852,20000-30000
BK356716,40000-50000
QN826011,10000-15000
SI630158,10000-15000
BK538158,40000-50000
QN369681,20000-30000
BX534740,under 10000
SI777080,under 10000
SI22133,15000-20000
BX423540,20000-30000
BX404732,30000-40000
BX256614,40000-50000
SI52749,20000-30000
QN1138432,10000-15000
SI22625,under 10000
SI552690,15000-20000
SI5417,20000-30000
BK455871,15000-20000
SI46161,15000-20000
BK449618,15000-20000
SI549139,15000-20000
BX399715,40000-50000
BK424713,40000-50000
BX266620,over 60000
QN132217,15000-20000
SI52771,20000-30000
BK196841,over 60000
BX432739,40000-50000
BK175540,over 60000
SI5348124,10000-15000
SI4538,20000-30000
SI683030,10000-15000
BK83713,30000-40000
SI51950,15000-20000
MN18529,over 60000
BK431118,40000-50000
BK360029,40000-50000
BX264344,over 60000
SI621630,10000-15000
BK102155,40000-50000
QN11940208,30000-40000
BX404651,30000-40000
SI2118107,under 10000
BX4752130,30000-40000
BK37238,30000-40000
QN4099156,10000-15000
QN133548,10000-15000
BK165641,40000-50000
BX440044,15000-20000
BX500017,40000-50000
QN1343711,15000-20000
BK566338,over 60000
BK160849,40000-50000
BK24631,over 60000
QN1267025,20000-30000
QN989540,40000-50000
SI18170,15000-20000
BK168747,40000-50000
BK143551,40000-50000
QN80686,under 10000
QN1343117,40000-50000
BK324365,over 60000
QN397495,20000-30000
QN93926,40000-50000
QN984610,40000-50000
SI88341,under 10000
BX498641,30000-40000
BK406712,40000-50000
SI64192,10000-15000
BX58171780,under 10000
